id,title,poster,year,type,genre,synopsis,number_of_episodes
f001,Le Parrain,nan,1972,Film,Crime,Le patriarche d’une famille mafieuse transmet son empire à son fils réticent.,nan
f002,"Le Parrain, 2ᵉ partie",nan,1974,Film,Crime,La montée en puissance des Corleone et l’héritage familial à travers les générations.,nan
f003,The Dark Knight : Le Chevalier noir,nan,2008,Film,Action,Batman affronte le Joker tandis que Gotham sombre dans le chaos.,nan
f004,Inception,nan,2010,Film,Science-fiction,Un voleur infiltre les rêves pour implanter une idée dans l’esprit d’une cible.,nan
f005,Pulp Fiction,nan,1994,Film,Crime,Des histoires de crime s’entrecroisent entre rédemption et absurdités à Los Angeles.,nan
f006,Fight Club,nan,1999,Film,Drame,Un insomniaque et un savonnier fondent un club de combat clandestin.,nan
f007,Forrest Gump,nan,1994,Film,Drame,Un homme simple traverse les grands moments de l’histoire américaine.,nan
f008,Matrix,nan,1999,Film,Science-fiction,Un hacker découvre que la réalité est une simulation contrôlée par des machines.,nan
f009,Interstellar,nan,2014,Film,Science-fiction,Des astronautes voyagent à travers un trou de ver pour sauver l’humanité.,nan
f010,Le Seigneur des anneaux : La Communauté de l’anneau,nan,2001,Film,Fantastique,Un hobbit entame une quête pour détruire un anneau maléfique.,nan
f011,Le Seigneur des anneaux : Les Deux Tours,nan,2002,Film,Fantastique,La Communauté se sépare tandis que la guerre ravage la Terre du Milieu.,nan
f012,Le Seigneur des anneaux : Le Retour du roi,nan,2003,Film,Fantastique,La bataille finale pour la Terre du Milieu et le destin de l’Anneau.,nan
f013,"Star Wars, épisode IV : Un nouvel espoir",nan,1977,Film,Science-fiction,Un fermier rejoint la Rébellion pour détruire une arme planétaire.,nan
f014,L’Empire contre-attaque,nan,1980,Film,Science-fiction,Les rebelles subissent des revers tandis que Luke affronte une sombre révélation.,nan
f015,Le Retour du Jedi,nan,1983,Film,Science-fiction,L’Alliance lance une ultime offensive contre l’Empire.,nan
f016,Star Wars : Le Réveil de la Force,nan,2015,Film,Science-fiction,Une récupératrice découvre sa destinée alors que la Force s’éveille.,nan
f017,Avengers: Infinity War,nan,2018,Film,Action,Les héros s’unissent pour empêcher Thanos de réunir les Pierres d’Infinité.,nan
f018,Avengers: Endgame,nan,2019,Film,Action,Les survivants tentent d’inverser le claquement de doigts de Thanos.,nan
f019,Iron Man,nan,2008,Film,Action,Un milliardaire crée une armure high-tech et devient un héros.,nan
f020,Black Panther,nan,2018,Film,Action,T’Challa revient au Wakanda pour protéger son royaume et son trône.,nan
f021,Titanic,nan,1997,Film,Romance,Deux amants se rencontrent à bord du paquebot voué au naufrage.,nan
f022,Avatar,nan,2009,Film,Science-fiction,Un marine sur Pandora s’éprend d’une Na’vi et remet sa mission en question.,nan
f023,Avatar : La Voie de l’eau,nan,2022,Film,Science-fiction,La famille Sully lutte pour survivre et protéger les océans de Pandora.,nan
f024,Jurassic Park,nan,1993,Film,Aventure,Des dinosaures recréés s’échappent d’un parc à thème.,nan
f025,Le Roi Lion,nan,1994,Film,Animation,Un lionceau doit accepter sa destinée de roi des Terres de la fierté.,nan
f026,Toy Story,nan,1995,Film,Animation,Des jouets vivants affrontent l’amitié et le changement.,nan
f027,Toy Story 3,nan,2010,Film,Animation,L’avenir des jouets bascule alors qu’Andy part à l’université.,nan
f028,Le Monde de Nemo,nan,2003,Film,Animation,Un poisson-clown timide traverse l’océan pour retrouver son fils.,nan
f029,Là-haut,nan,2009,Film,Animation,Un vieil homme fait voler sa maison pour réaliser un rêve.,nan
f030,Vice-versa,nan,2015,Film,Animation,Les émotions d’une fillette l’aident à grandir lors d’un déménagement.,nan
f031,Coco,nan,2017,Film,Animation,Un garçon visite le Pays des Morts pour percer les secrets de sa famille.,nan
f032,Le Voyage de Chihiro,nan,2001,Film,Animation,Une fillette pénètre un monde d’esprits pour sauver ses parents.,nan
f033,Parasite,nan,2019,Film,Thriller,"Une famille pauvre infiltre un foyer riche, avec des conséquences tragiques.",nan
f034,La La Land,nan,2016,Film,Comédie musicale,Une actrice et un musicien poursuivent leurs rêves à Los Angeles.,nan
f035,Whiplash,nan,2014,Film,Drame,Un batteur affronte un professeur impitoyable pour atteindre l’excellence.,nan
f036,Les Évadés,nan,1994,Film,Drame,Deux prisonniers nouent un lien et rêvent d’évasion.,nan
f037,Seven,nan,1995,Film,Thriller,Deux enquêteurs traquent un tueur inspiré des sept péchés capitaux.,nan
f038,Le Silence des agneaux,nan,1991,Film,Thriller,Une stagiaire du FBI sollicite Hannibal Lecter pour arrêter un tueur.,nan
f039,Il faut sauver le soldat Ryan,nan,1998,Film,Guerre,Des soldats risquent tout pour retrouver un parachutiste en Normandie.,nan
f040,La Liste de Schindler,nan,1993,Film,Historique,Un industriel sauve des Juifs pendant l’Holocauste.,nan
f041,Gladiator,nan,2000,Film,Action,Un général trahi cherche vengeance dans l’arène romaine.,nan
f042,Braveheart,nan,1995,Film,Historique,William Wallace mène la révolte pour la liberté de l’Écosse.,nan
f043,Les Infiltrés,nan,2006,Film,Crime,Un taupe et un infiltré s’affrontent dans une partie mortelle.,nan
f044,Les Affranchis,nan,1990,Film,Crime,Ascension et chute d’un associé de la mafia new-yorkaise.,nan
f045,La Ligne verte,nan,1999,Film,Drame,Un gardien du couloir de la mort rencontre un détenu au don étrange.,nan
f046,Usual Suspects,nan,1995,Film,Crime,Un braquage tourne autour de l’insaisissable Keyser Söze.,nan
f047,Terminator 2 : Le Jugement dernier,nan,1991,Film,Science-fiction,Un cyborg protège l’adolescent destiné à sauver l’humanité.,nan
f048,Alien,nan,1979,Film,Science-fiction,L’équipage d’un vaisseau affronte une créature extraterrestre mortelle.,nan
f049,Aliens : Le Retour,nan,1986,Film,Science-fiction,La survivante mène des marines dans un nid d’aliens.,nan
f050,Retour vers le futur,nan,1985,Film,Science-fiction,Un ado remonte le temps et compromet sa propre existence.,nan
f051,Les Aventuriers de l’arche perdue,nan,1981,Film,Aventure,Indiana Jones cherche une relique biblique avant les nazis.,nan
f052,Indiana Jones et la Dernière Croisade,nan,1989,Film,Aventure,Indy et son père partent à la quête du Graal.,nan
f053,Le Prestige,nan,2006,Film,Drame,Deux magiciens rivaux s’engagent dans une dangereuse surenchère.,nan
f054,Memento,nan,2000,Film,Thriller,Un homme amnésique traque l’assassin de sa femme.,nan
f055,Django Unchained,nan,2012,Film,Western,Un esclave affranchi s’allie à un chasseur de primes pour sauver sa femme.,nan
f056,Inglourious Basterds,nan,2009,Film,Guerre,Des soldats alliés complotent pour éliminer des dirigeants nazis.,nan
f057,Once Upon a Time… in Hollywood,nan,2019,Film,Drame,Un acteur et sa doublure traversent le Hollywood de 1969.,nan
