id,title,poster,year,type,genre,synopsis
f001,Le Parrain,,1972,Film,Crime,Le patriarche d’une famille mafieuse transmet son empire à son fils réticent.
f002,"Le Parrain, 2ᵉ partie",,1974,Film,Crime,La montée en puissance des Corleone et l’héritage familial à travers les générations.
f003,The Dark Knight : Le Chevalier noir,,2008,Film,Action,Batman affronte le Joker tandis que Gotham sombre dans le chaos.
f004,Inception,,2010,Film,Science-fiction,Un voleur infiltre les rêves pour implanter une idée dans l’esprit d’une cible.
f005,Pulp Fiction,,1994,Film,Crime,Des histoires de crime s’entrecroisent entre rédemption et absurdités à Los Angeles.
f006,Fight Club,,1999,Film,Drame,Un insomniaque et un savonnier fondent un club de combat clandestin.
f007,Forrest Gump,,1994,Film,Drame,Un homme simple traverse les grands moments de l’histoire américaine.
f008,Matrix,,1999,Film,Science-fiction,Un hacker découvre que la réalité est une simulation contrôlée par des machines.
f009,Interstellar,,2014,Film,Science-fiction,Des astronautes voyagent à travers un trou de ver pour sauver l’humanité.
f010,Le Seigneur des anneaux : La Communauté de l’anneau,,2001,Film,Fantastique,Un hobbit entame une quête pour détruire un anneau maléfique.
f011,Le Seigneur des anneaux : Les Deux Tours,,2002,Film,Fantastique,La Communauté se sépare tandis que la guerre ravage la Terre du Milieu.
f012,Le Seigneur des anneaux : Le Retour du roi,,2003,Film,Fantastique,La bataille finale pour la Terre du Milieu et le destin de l’Anneau.
f013,"Star Wars, épisode IV : Un nouvel espoir",,1977,Film,Science-fiction,Un fermier rejoint la Rébellion pour détruire une arme planétaire.
f014,L’Empire contre-attaque,,1980,Film,Science-fiction,Les rebelles subissent des revers tandis que Luke affronte une sombre révélation.
f015,Le Retour du Jedi,,1983,Film,Science-fiction,L’Alliance lance une ultime offensive contre l’Empire.
f016,Star Wars : Le Réveil de la Force,,2015,Film,Science-fiction,Une récupératrice découvre sa destinée alors que la Force s’éveille.
f017,Avengers: Infinity War,,2018,Film,Action,Les héros s’unissent pour empêcher Thanos de réunir les Pierres d’Infinité.
f018,Avengers: Endgame,,2019,Film,Action,Les survivants tentent d’inverser le claquement de doigts de Thanos.
f019,Iron Man,,2008,Film,Action,Un milliardaire crée une armure high-tech et devient un héros.
f020,Black Panther,,2018,Film,Action,T’Challa revient au Wakanda pour protéger son royaume et son trône.
f021,Titanic,,1997,Film,Romance,Deux amants se rencontrent à bord du paquebot voué au naufrage.
f022,Avatar,,2009,Film,Science-fiction,Un marine sur Pandora s’éprend d’une Na’vi et remet sa mission en question.
f023,Avatar : La Voie de l’eau,,2022,Film,Science-fiction,La famille Sully lutte pour survivre et protéger les océans de Pandora.
f024,Jurassic Park,,1993,Film,Aventure,Des dinosaures recréés s’échappent d’un parc à thème.
f025,Le Roi Lion,,1994,Film,Animation,Un lionceau doit accepter sa destinée de roi des Terres de la fierté.
f026,Toy Story,,1995,Film,Animation,Des jouets vivants affrontent l’amitié et le changement.
f027,Toy Story 3,,2010,Film,Animation,L’avenir des jouets bascule alors qu’Andy part à l’université.
f028,Le Monde de Nemo,,2003,Film,Animation,Un poisson-clown timide traverse l’océan pour retrouver son fils.
f029,Là-haut,,2009,Film,Animation,Un vieil homme fait voler sa maison pour réaliser un rêve.
f030,Vice-versa,,2015,Film,Animation,Les émotions d’une fillette l’aident à grandir lors d’un déménagement.
f031,Coco,,2017,Film,Animation,Un garçon visite le Pays des Morts pour percer les secrets de sa famille.
f032,Le Voyage de Chihiro,,2001,Film,Animation,Une fillette pénètre un monde d’esprits pour sauver ses parents.
f033,Parasite,,2019,Film,Thriller,"Une famille pauvre infiltre un foyer riche, avec des conséquences tragiques."
f034,La La Land,,2016,Film,Comédie musicale,Une actrice et un musicien poursuivent leurs rêves à Los Angeles.
f035,Whiplash,,2014,Film,Drame,Un batteur affronte un professeur impitoyable pour atteindre l’excellence.
f036,Les Évadés,,1994,Film,Drame,Deux prisonniers nouent un lien et rêvent d’évasion.
f037,Seven,,1995,Film,Thriller,Deux enquêteurs traquent un tueur inspiré des sept péchés capitaux.
f038,Le Silence des agneaux,,1991,Film,Thriller,Une stagiaire du FBI sollicite Hannibal Lecter pour arrêter un tueur.
f039,Il faut sauver le soldat Ryan,,1998,Film,Guerre,Des soldats risquent tout pour retrouver un parachutiste en Normandie.
f040,La Liste de Schindler,,1993,Film,Historique,Un industriel sauve des Juifs pendant l’Holocauste.
f041,Gladiator,,2000,Film,Action,Un général trahi cherche vengeance dans l’arène romaine.
f042,Braveheart,,1995,Film,Historique,William Wallace mène la révolte pour la liberté de l’Écosse.
f043,Les Infiltrés,,2006,Film,Crime,Un taupe et un infiltré s’affrontent dans une partie mortelle.
f044,Les Affranchis,,1990,Film,Crime,Ascension et chute d’un associé de la mafia new-yorkaise.
f045,La Ligne verte,,1999,Film,Drame,Un gardien du couloir de la mort rencontre un détenu au don étrange.
f046,Usual Suspects,,1995,Film,Crime,Un braquage tourne autour de l’insaisissable Keyser Söze.
